vx	vy	vz	score	numLines
-0.99398382	-0.10952524	-0.00061927	1675.16	184
-0.58885474	0.80822813	0.00417030	1129.17	173
-0.98010567	-0.19847638	-0.00000195	858.94	137

nLines	x1	y1	x2	y2	length
184
	320.00	234.97	327.00	236.65	7.20
	578.09	235.15	586.05	236.92	8.15
	570.23	236.46	575.89	237.24	5.71
	536.00	237.02	542.74	238.32	6.86
	304.83	242.89	315.07	244.33	10.34
	566.00	244.94	571.92	246.13	6.04
	449.85	245.78	466.08	248.67	16.49
	156.02	246.62	165.85	249.14	10.14
	623.96	249.68	629.01	250.86	5.19
	138.98	255.21	158.02	259.27	19.48
	557.71	258.47	577.06	262.51	19.77
	458.00	259.06	471.89	261.38	14.09
	481.03	260.47	500.00	262.95	19.13
	288.11	262.16	294.11	263.76	6.21
	592.00	265.27	609.00	267.74	17.17
	571.90	265.58	578.00	267.03	6.27
	369.00	270.44	379.08	272.31	10.25
	469.38	275.49	489.98	279.63	21.01
	293.20	276.20	300.09	277.83	7.08
	305.52	277.23	335.01	281.84	29.84
	549.04	289.64	540.41	288.40	8.72
	520.98	281.12	535.00	283.82	14.28
	568.10	284.36	579.00	287.33	11.30
	607.08	285.39	620.95	288.15	14.14
	481.98	285.09	511.00	289.92	29.42
	168.43	286.59	174.64	288.22	6.42
	561.09	289.60	566.04	290.74	5.08
	618.84	291.28	629.01	293.47	10.40
	534.00	293.03	556.01	296.05	22.21
	435.05	293.87	461.97	298.63	27.34
	312.05	298.50	324.96	301.07	13.16
	579.05	301.57	607.95	306.09	29.25
	499.00	340.00	509.02	342.43	10.31
	190.04	312.13	202.11	314.86	12.37
	223.86	313.24	233.10	315.34	9.48
	456.90	313.04	466.00	315.00	9.31
	443.00	316.45	448.25	317.37	5.33
	237.02	318.75	243.15	319.85	6.24
	557.01	319.29	566.96	321.64	10.22
	195.37	321.21	200.86	322.13	5.56
	427.98	323.24	437.00	324.98	9.19
	521.99	325.20	555.01	332.66	33.86
	495.35	326.66	500.99	327.94	5.79
	155.20	327.61	163.87	329.13	8.79
	617.92	331.23	625.00	332.73	7.24
	187.00	332.78	192.06	333.62	5.13
	430.42	336.88	435.97	338.12	5.68
	219.30	346.13	227.01	347.72	7.87
	355.93	352.07	366.01	354.65	10.41
	379.08	352.24	387.03	353.60	8.07
	413.95	357.80	426.17	359.78	12.38
	568.97	385.67	596.03	390.28	27.45
	447.07	359.92	456.06	362.24	9.28
	613.89	373.14	620.99	374.40	7.21
	349.04	361.10	353.94	362.15	5.02
	442.07	361.79	447.32	362.68	5.33
	162.98	365.05	169.99	366.00	7.07
	497.00	364.00	505.03	365.46	8.16
	308.21	367.41	316.06	368.88	7.99
	472.11	370.38	487.88	374.43	16.28
	489.97	370.08	501.15	372.36	11.41
	144.06	377.09	151.10	378.25	7.14
	212.22	377.86	220.18	379.48	8.12
	207.55	381.46	215.86	383.49	8.55
	426.06	380.68	432.98	381.88	7.02
	600.05	385.95	629.11	392.77	29.85
	145.95	392.44	151.31	393.75	5.51
	233.02	401.98	239.07	403.30	6.19
	209.23	407.22	217.84	409.20	8.84
